,date,Temp
0,2023-01-01,31.847131729125977
1,2023-01-02,31.745468139648438
2,2023-01-03,31.763660430908203
3,2023-01-04,31.926898956298828
4,2023-01-05,31.925739288330078
5,2023-01-06,31.765762329101562
6,2023-01-07,31.739076614379883
7,2023-01-08,31.844253540039062
8,2023-01-09,31.78368377685547
9,2023-01-10,31.844730377197266
10,2023-01-11,32.05237579345703
11,2023-01-12,32.096946716308594
12,2023-01-13,31.98379898071289
13,2023-01-14,32.004791259765625
14,2023-01-15,32.15826416015625
15,2023-01-16,32.14634704589844
16,2023-01-17,32.25616455078125
17,2023-01-18,32.51244354248047
18,2023-01-19,32.60527420043945
19,2023-01-20,32.53976821899414
20,2023-01-21,32.60755920410156
21,2023-01-22,32.8067626953125
22,2023-01-23,32.839298248291016
23,2023-01-24,32.99209213256836
24,2023-01-25,33.289695739746094
25,2023-01-26,33.42202377319336
26,2023-01-27,33.394046783447266
27,2023-01-28,33.49726486206055
28,2023-01-29,33.72967529296875
29,2023-01-30,33.793113708496094
30,2023-01-31,33.97442626953125
31,2023-02-01,34.298118591308594
32,2023-02-02,34.45406723022461
33,2023-02-03,34.447227478027344
34,2023-02-04,34.56910705566406
35,2023-02-05,34.81773376464844
36,2023-02-06,34.894981384277344
37,2023-02-07,35.08775329589844
38,2023-02-08,35.420631408691406
39,2023-02-09,35.58359146118164
40,2023-02-10,35.581687927246094
41,2023-02-11,35.70654296875
42,2023-02-12,35.9563102722168
43,2023-02-13,36.03300094604492
44,2023-02-14,36.223663330078125
45,2023-02-15,36.55302429199219
46,2023-02-16,36.71120071411133
47,2023-02-17,36.703407287597656
48,2023-02-18,36.82142639160156
49,2023-02-19,37.06354904174805
50,2023-02-20,37.13194274902344
51,2023-02-21,37.31379318237305
52,2023-02-22,37.633968353271484
53,2023-02-23,37.78271484375
54,2023-02-24,37.76536178588867
55,2023-02-25,37.873802185058594
56,2023-02-26,38.10643005371094
57,2023-02-27,38.16550064086914
58,2023-02-28,38.33827209472656
